Date,Price (Open),Price (High),Price (Low),Price (Close),Real Volume,Circulating Marketcap,Realized Marketcap,Adjusted NVT,Average Transaction Fees,Block Size (bytes)
2016-11-28,0.006902611087392593,0.007040351349797532,0.0067211151571048245,0.006833836027206284,188112.99945483956,92841600.70287563,289960880.39618397,919.769659071181,0.00003896294066870733,0
2016-11-27,0.007018491670838646,0.007117439524272785,0.006784993771209458,0.006905041228221947,174992.0370415326,93931578.3749316,290318299.25490326,2626.560481607453,0.000045207079723807914,0
2016-11-26,0.0068104858665551556,0.007025598496355265,0.006699057934614773,0.006980403126720371,194660.08282939537,90783246.18503866,290405270.57127345,2584.339064168284,0.000024721728700594355,0
2016-11-25,0.006800777382707288,0.007068333822119742,0.006669787277467642,0.006822257775960431,194629.9361353162,91313582.06565176,290230879.1174773,896.807955403162,0.00005612155226556915,0
2016-11-24,0.0070978740702275405,0.007166499647277028,0.006740637046594413,0.006808764295414667,539242.4803577748,94746543.90402347,290566682.1230925,798.794109297541,0.000060787555915159506,0
2016-11-23,0.007341057509348079,0.007426374144026661,0.0067088693111167445,0.007051239597802481,703832.3647519036,98193747.79306027,291085449.4409716,529.271068370999,0.00007941009011221165,0
2016-11-22,0.007507789903048081,0.007582305654978659,0.007202679299234535,0.007326631726886465,337426.22249566816,100242200.07806389,291598973.51991737,281.23329591861,0.00005209253845594087,0
2016-11-21,0.007575128400000001,0.0077313658999999995,0.007356845131632644,0.00749287418011226,236266.52035435583,100372769.60424545,292359093.91228896,883.587646801471,0.00003095929933858885,0
2016-11-20,0.0076509487904057455,0.007773586796145376,0.007200590924834399,0.007592112782506435,579668.4563996453,101967552.17193377,288841593.90089446,1228.078958815367,0.00005735261631709512,0
2016-11-19,0.007755696615094669,0.007808723547477721,0.007571387372511803,0.007675515867671912,191422.67451010886,103534574.37430386,288904355.08599484,1258.837472065529,0.0000794535671550903,0
2016-11-18,0.007680546345298411,0.0079910814,0.00756725503146406,0.007787600311448144,294578.9525434873,101419671.36115003,289131486.0525721,779.885806054763,0.000044877091178735336,0
2016-11-17,0.007712049929734247,0.007925863092387788,0.00752591930020964,0.007629101347912283,288128.88305660296,101815254.60768196,288949161.6427706,346.228442947474,0.00007970151386783976,0
2016-11-16,0.007838906174239452,0.007989422833239052,0.007511958034353861,0.007657853953549531,548861.1467285906,103328382.05187231,289383567.5628749,933.308214540269,0.00012760174929899362,0
2016-11-15,0.007945211179005058,0.008078042646074922,0.007657816625130268,0.007882616867637809,405277.755990604,104667951.77709936,289725077.4011753,606.604844025711,0.00006007707564577078,0
2016-11-14,0.008118597529216062,0.008195674198054526,0.007894553844476218,0.007951996787599929,124713.79079579045,107098219.83135253,288744807.30599034,956.382531865693,0.000023089405302770372,0
2016-11-13,0.008000517970250776,0.008161478,0.007904667664036129,0.008120234337949065,132434.01247932852,106081276.15179,289211765.70720977,2544.114342743628,0.000031645883302826064,0
2016-11-12,0.008101241328928203,0.00828851134023693,0.007506085185058478,0.008031584696934317,439611.27382553276,107253563.81399335,289130742.79735976,2107.209911954285,0.00004933224842269137,0
2016-11-11,0.00797705398917685,0.008190761026456586,0.007910370015459368,0.008127992996572386,208740.23866872097,105952719.29450078,289185451.99987406,1056.344268720949,0.00003459144673159622,0
2016-11-10,0.00813987065815614,0.008287440547005996,0.007960992302416047,0.008046535585279355,124696.43710301744,107092971.76547459,289100877.71664,939.219505950826,0.000038939015353767067,0
2016-11-09,0.008146261236818312,0.008300370588214088,0.007789721067406662,0.0080741111341785,554182.2924260487,107780008.97785576,289213451.713983,592.233384788813,0.00004081560642023979,0
2016-11-08,0.008265155707315392,0.008470719686372504,0.007923073050145833,0.008118884265446432,499662.3048983619,109739825.76718166,289303662.9275298,274.214640442627,0.000049386067737552056,0
2016-11-07,0.008183001,0.008302012612636453,0.0079192022,0.0082863066,331020.0431526495,105759363.94073604,289324201.26429,866.672961255588,0.00004149561753319402,0
2016-11-06,0.008252759613483929,0.00845337191672029,0.007991379660994906,0.008103660894068486,171454.43394825334,108233876.98997879,289080694.4028207,1759.031116550706,0.000025809792555556557,0
2016-11-05,0.008231897808293757,0.00856687025042168,0.008005018000000001,0.008293729012078522,156855.68227847808,107417738.79158026,289237847.4428904,2168.401357742205,0.00003154910849737886,0
2016-11-04,0.008155346459367017,0.008305349772157264,0.008009239279217357,0.008213575493923991,331400.0203227926,106497573.79298513,289004635.5024678,584.972156419997,0.00004104251201689868,0
2016-11-03,0.00815935933640838,0.00832716037111874,0.007951429929710234,0.00815593283043727,642532.9449281306,106904469.53165317,288716724.3163443,1041.54068881892,0.00006154900980033272,0
2016-11-02,0.00804169837386372,0.008344173101940666,0.007946828251626093,0.008195261204781307,224586.80023050605,105143391.67842735,288605821.4243015,349.272554770892,0.00003250317734474688,0
2016-11-01,0.008076756425075729,0.008345609404633766,0.007817293083678175,0.00813291388276275,517114.040219108,105480973.57596135,289107046.3072424,244.386625256973,0.000050204649736629634,0
2016-10-31,0.008090652804574472,0.008465379937624636,0.007926095205927767,0.008078672512769912,494107.60759745236,104680213.85303116,289494284.8301815,64.12477111453,0.000049416830460107246,0
2016-10-30,0.007722355347180266,0.00836683113872351,0.007621794509560165,0.008088170550187386,755695.2878635213,99907507.55344802,286349220.32998353,1396.400654786146,0.00004700810013053759,0
2016-10-29,0.007960482097222861,0.008045842080806482,0.00717587034591754,0.007762212687691599,1337212.1131220637,102975350.16589811,285930048.5728102,589.55309161272,0.00006786904202271224,0
2016-10-28,0.008288555089062597,0.00851335031978624,0.007631692533028356,0.007954104923778602,1269482.885391034,107196044.45355971,286302458.79048705,406.017178866578,0.00006861437402443534,0
2016-10-27,0.008660413600687445,0.008771603329122255,0.008016476955998816,0.008298604872001023,1329397.488519633,112083600.91982272,286910278.8194829,426.115111377877,0.00005840674198421352,0
2016-10-26,0.008748100413418213,0.009033855364727962,0.008309885448213365,0.008664888981238543,804590.1986582383,113246081.68461446,287480533.38173157,460.093145254238,0.00004759081670407373,0
2016-10-25,0.008813155206656825,0.009114081579423176,0.008647839038427968,0.008740891864934337,719410.5850479528,113757089.03122188,287370781.2871185,547.410031203389,0.00004161041029809529,0
2016-10-24,0.008946330700000001,0.009179915682543059,0.0087391742,0.008827651007160105,504131.8857073241,115432622.22499457,287479980.35688,259.309798803682,0.000028895452273627034,0
2016-10-23,0.008815640908549143,0.009069188773012741,0.008643443195951117,0.008918272034336358,443719.4913249497,112745505.74204078,287608825.15391004,1226.307655320919,0.00003335298124380445,0
2016-10-22,0.008956719547305,0.009016602257379353,0.008615033587580638,0.008718577,965444.5427754077,114477600.59409143,287340913.3301886,1231.082521119743,0.00006456231454972288,0
2016-10-21,0.009153796472666242,0.009398919603602323,0.008540792640268136,0.008975511128929956,1459790.5846871112,116981646.36803794,287571710.1008451,209.957890845623,0.0002941508250646621,0
2016-10-20,0.008714836077139942,0.009383932986976437,0.00853487788000021,0.009141453392050346,2702976.295713346,111356037.59589915,285621332.071373,261.957142506409,0.000141002760505289,0
2016-10-19,0.008349631746215898,0.008828360898793292,0.008226593347784734,0.008722769872039739,842758.4150929052,106823843.62830724,283940772.71640354,665.945698042279,0.000044058520196447316,0
2016-10-18,0.007944242171012911,0.008477262532836451,0.007910672476374381,0.008381120629667876,876842.5013209746,101454897.6574818,283309698.13446325,337.191842387708,0.00012117486969531753,0
2016-10-17,0.00793009068396287,0.00811984522395689,0.007712622166009505,0.00795262170601104,546365.9045810347,100985962.19254263,282676746.56014293,259.08002188154,0.00003188704694395059,0
