"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2019-09-24","9684.829362661703","9777.823689163415","7878.258365361496","8530.168521207615","4082973769.0497346","174032980961.5733"
"2019-09-23","10035.095292336939","10053.322773399614","9611.783472181884","9696.591656946142","1102948445.90668","180102045937.83307"
"2019-09-22","9986.58112253232","10086.645195454163","9844.270156427247","10027.94002409689","729745233.0846381","179575971447.27737"
"2019-09-21","10165.384622594933","10176.645283947475","9906.422321528702","9986.093584857514","714005987.5356368","182534569100.44598"
"2019-09-20","10296.466768364566","10312.39232610176","10064.731537548489","10169.5390973117","849945965.9261006","184610611222.60907"
"2019-09-19","10161.301763809528","10359.679911469046","9626.501102089409","10253.950351951038","1895305149.9246821","182559305987.1811"
"2019-09-18","10189.986699096731","10262.94056937001","10097.2740065883","10160.733482534852","869304324.8827364","183153161414.65125"
"2019-09-17","10261.480621685163","10281.63467826417","10133.099373198858","10194.589306745069","813650837.3915429","184528299638.59235"
"2019-09-16","10310.152235476779","10382.413312782011","10077.968315212453","10269.09079457108","1064747125.1288779","185070885121.51175"
"2019-09-15","10354.238015728755","10386.289359098786","10267.484910610065","10311.41649572575","554573626.8328367","186017208912.6699"
"2019-09-14","10349.808588805365","10443.642533180087","10232.045433428613","10360.842547797089","777836216.4656167","185902806002.13184"
"2019-09-13","10435.498728491417","10646.947055700755","9752.392285690607","10363.273649958159","1015234714.0055015","187245139639.32156"
"2019-09-12","10166.617773036029","10463.363981507599","10040.675970036991","10427.418397146988","1097207854.6812406","182345140366.4105"
"2019-09-11","10107.973298727624","10283.050115875774","9853.528038529117","10163.57335680298","1156206790.2200577","181543064889.7603"
"2019-09-10","10308.673680832759","10389.924212764541","9937.778655655859","10103.575587480342","1078360055.7901332","185030311442.7656"
"2019-09-09","10398.894108634064","10511.262434186416","10068.4929577293","10311.641000042227","1448247435.7181387","186773750204.94302"
"2019-09-08","10485.692550435804","10601.39239279456","10233.723579428657","10405.258854397334","836498143.6825811","188020747545.4367"
"2019-09-07","10310.545954872998","10577.837681784447","10302.0032468886","10482.137403171544","886678311.2596133","184953742165.9997"
"2019-09-06","10577.966338378346","10923.859310694394","10183.13163278104","10307.994080450493","2278177519.799542","189635650776.23212"
"2019-09-05","10585.036762482892","10699.098457823471","10458.78583261439","10571.68660836975","1121241138.8194816","189696518173.74567"
"2019-09-04","10612.916441948488","10825.188273329079","10368.86175118566","10573.948048803524","1716131321.3063931","190200224929.8998"
"2019-09-03","10379.897781003012","10777.717685180043","10284.493959635405","10617.632755301856","2093008577.74668","186003979445.96497"
"2019-09-02","9755.840783509771","10479.422351398704","9732.243562182644","10373.63033960103","1698913648.2189312","174793411142.9299"
"2019-09-01","9597.678492999532","9841.250072444576","9533.737537881243","9738.476215426685","632817008.903702","171960873893.35968"
