Date,Circulating Marketcap,Realized Marketcap,Adjusted NVT,Hash Rate,Average Difficulty,Miner Revenue,Block Size (bytes)
2019-04-20,18181017497.857704,25993964790.907925,60.66849104,138.118341364123,1873586468911100,0,128472576
2019-04-19,18279486538.570732,25955012067.32766,46.80525971,140.452737448713,1881713807379350,0,134208063
2019-04-18,17435123597.501923,25945828568.114594,41.70769381,137.501580136766,1854242620008260,0,135885045
2019-04-17,17406974203.403576,25863706465.637535,48.37754451,137.668681769967,1863101774511350,0,133196686
2019-04-16,16762922498.875517,25866934004.670635,50.54331617,140.695607545142,1896986117962720,0,145383848
2019-04-15,17596503671.6234,25833855117.777172,44.20115125,143.452320108269,1923712981917590,0,138431909
2019-04-14,17143946591.229313,25883819715.76807,64.44714146,143.446452506932,1929568135170340,0,109186255
2019-04-13,17160628612.629837,25851802655.295715,74.13348977,142.611569200023,1898392758406840,0,114107441
2019-04-12,17248796340.733418,25896403822.71947,43.58492094,139.635089377869,1879058890864660,0,130576703
2019-04-11,18547302987.066647,25919134987.145565,39.31759635,139.977058473162,1894481921422210,0,153982696
2019-04-10,18385736331.473164,26000592767.187035,38.48877975,140.323204447125,1878252399407840,0,145911685
2019-04-09,18882350479.917816,25959174118.50443,33.92445701,137.810904609262,1851497756217200,0,126141153
2019-04-08,18301268841.582268,25994450719.536438,30.53506681,136.099696882773,1825616819133280,0,130270380
2019-04-07,17380007262.404877,25944037074.15045,47.60630114,136.700154497132,1823189489121750,0,114181212
2019-04-06,17358021980.82168,25858593968.400394,61.42829913,137.668706044968,1843194255325350,0,109776400
2019-04-05,16488157338.018202,25791465234.74575,42.40916491,135.523329039011,1821339903382840,0,123780236
2019-04-04,16824606385.842215,25739252908.176563,39.17048761,134.975462595713,1819524026766430,0,139601362
2019-04-03,17222177492.10349,25756620199.524406,27.92877816,131.208612949128,1788931574783740,0,146648146
2019-04-02,14754559837.308783,25807662897.783573,27.25300415,132.17951090543,1796568273618650,0,146613384
2019-04-01,14810315122.88973,25631068818.59747,46.79511535,134.472680655086,1809756338437700,0,131555117
2019-03-31,14952276287.748371,25743738476.840485,53.31752395,127.860201133348,1721429556436980,0,128049875
2019-03-30,15120579574.03912,25746020941.876106,45.14625519,126.643179448144,1716959438041000,0,131974093
2019-03-29,14375236667.453104,25789077506.425278,43.22950235,132.055429092654,1791437241367330,0,133428652
2019-03-28,14579004531.938217,25733045992.354908,48.46663661,130.955275938531,1775233173304200,0,125672174
2019-03-27,14061056192.736937,25749957504.890316,50.59966191,131.649966595234,1761299986726940,0,130413725
2019-03-26,13899672025.70374,25688782826.19876,43.40441769,132.024509057796,1794096152189190,0,129661499
2019-03-25,14149038666.575539,25702352919.41962,39.87914581,137.164857296365,1843360821780300,0,128715503
2019-03-24,14264874734.698664,25741959082.19665,64.69841747,137.48883997885,1846681856584220,0,108947199
2019-03-23,14343103857.69038,25755285682.719395,50.49198103,136.50729163688,1833592266156400,0,111614997
2019-03-22,14132092386.176382,25759385194.345497,52.81641668,136.620477212782,1842031209461610,0,127034930
